COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
1-1,"1, 2, 3, 5, 9","4, 6, 7",8,"Red, Orange, White, Yellow, Green,",BLACK,Govt Job
1-2,"1, 3, 5","2, 6, 7","8, 4, 9","Red, Orange, Yellow, Green,",BLACK,Normal
1-3,"1, 2, 3, 5","4, 7, 9","8, 6","Red, Orange, White, Yellow, Green,","BLACK, INDIGO",Daiva Sambutharu (Intercast Marriage)
1-4,1,"3, 5, 6, 7","8, 2, 4, 9","Red, Orange",BLACK,Normal
1-5,"1, 2, 3, 5","4, 6, 7, 9",8,"Red, Orange, White, Yellow, Green,",BLACK,"BudhaAditya Yoga, Super"
1-6,5,"1, 2, 4, 6, 7, 9","8, 3","Green,","BLACK, YELLOW",Normal
1-7,"1, 5","2, 3, 4, 6, 7, 9",8,"Red, Orange, Green,",BLACK,Normal
1-8,"3, 5","6, 7, 9","8, 4, 1, 2","Yellow, Green,","BLACK, RED, ORANGE",Everywhere Enemies
1-9,"1, 3, 5","6, 7, 9","8, 2, 4","Red, Orange, Yellow, Green,",BLACK,Super
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
2-1,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Normal
2-2,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Auspisious
2-3,"1, 3, 5","2, 7","4, 9, 6, 8","Red, Orange, Yellow, Green,","BLACK, INDIGO","Wonderful, GajaKesari Yoga"
2-4,1,"3, 5, 6, 7","4, 9, 2, 8","Red, Orange",BLACK,Super
2-5,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Auspisious
2-6,5,"1, 2, 6, 7","4, 9, 3, 8","Green,","BLACK, YELLOW",Normal
2-7,"1, 5","2, 3, 6, 7","4, 9, 8","Red, Orange, Green,",BLACK,"Auspisious, Wonderful"
2-8,"3, 5","6, 7","4, 9, 8, 1, 2","Yellow, Green,","BLACK, RED, ORANGE",Mental Torture
2-9,"1, 3, 5","6, 7","4, 9, 2, 8","Red, Orange, Yellow, Green,",BLACK,"Enemies, Disasters, Accidents, Marriage Life Disturbed"
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
3-1,"1, 2, 3, 5","4, 7, 9","6, 8","Red, Orange, White, Yellow, Green,","INDIGO, BLACK","Bhadraka Yoga, Very Auspisious"
3-2,"1, 3, 5","2, 7","6, 4, 9, 8","Red, Orange, Yellow, Green,","INDIGO, BLACK","GajaKesari, Very Auspisious"
3-3,"1, 2, 3, 5","4, 7, 8, 9",6,"Red, Orange, White, Yellow, Green,",INDIGO,Very Auspisious
3-4,1,"3, 5, 7","6, 2, 4, 8, 9","Red, Orange","INDIGO, BLACK",Normal
3-5,"1, 2, 3, 5","4, 7, 8, 9",6,"Red, Orange, White, Yellow, Green,",INDIGO,"Very Opposite, Lose"
3-6,5,"1, 2, 4, 7, 8, 9","6, 3","Green,","INDIGO, YELLOW","Very Opposite, Lose"
3-7,"1, 5","2, 3, 4, 7, 8, 9",6,"Red, Orange, Green,","INDIGO, BLACK",InAspisious
3-8,"3, 5","7, 9","6, 4, 8, 1, 2","Yellow, Green,","INDIGO, RED, ORANGE",Auspisious
3-9,"1, 3, 5","7, 8, 9","6, 2, 4","Red, Orange, Yellow, Green,",INDIGO,"Very Auspisious, Very Special"
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
4-1,1,"3, 5, 6, 7","2, 4, 8, 9","Red, Orange",BLACK,Auspisious
4-2,1,"3, 5, 6, 7","2, 4, 8, 9","Red, Orange",BLACK,InAspisious
4-3,1,"3, 5, 7","2, 4, 8, 9, 6","Red, Orange","BLACK, INDIGO",Normal
4-4,"1, 6, 7","3, 5","2, 4, 8, 9","Red, Orange, White, Indigo, Blue, Grey",BLACK,Normal
4-5,"1, 6","3, 5, 7","2, 4, 8, 9","Red, Orange, White, Indigo",BLACK,InAspisious
4-6,"6, 7","1, 5","2, 4, 8, 9, 3","White, Indigo, Blue, Grey","BLACK, YELLOW",Very Special
4-7,"1, 6","3, 5, 7","2, 4, 8, 9","Red, Orange, White, Indigo",BLACK,Very Auspisious
4-8,6,"3, 5, 7","2, 4, 8, 9, 1","White, Indigo","BLACK, RED, ORANGE",Very Opposite
4-9,1,"3, 5, 6, 7","2, 4, 8, 9","Red, Orange",BLACK,Auspisious
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
5-1,"1, 2, 3, 5","4, 6, 7, 9",8,"Red, Orange, White, Yellow, Green,",BLACK,"Very Auspisious, Super"
5-2,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Normal
5-3,"1, 2, 3, 5","4, 7, 8, 9",6,"Red, Orange, White, Yellow, Green,",INDIGO,Very Opposite
5-4,"1, 6","3, 5, 7","2, 4, 8, 9","Red, Orange, White, Indigo",BLACK,Opposite
5-5,"1, 2, 3, 5, 6","4, 7, 8, 9",,"Red, Orange, White, Yellow, Green, White, Indigo",-,Very Auspisious
5-6,"5, 6","1, 2, 4, 7, 8, 9",3,"Green, White, Indigo",YELLOW,Very Auspisious
5-7,"1, 5, 6","2, 3, 4, 7, 8, 9",,"Red, Orange, Green, White, Indigo",BLACK,Opposite
5-8,"3, 5, 6","7, 9","4, 8, 1, 2","Yellow, Green, White, Indigo","RED, ORANGE",Very Good
5-9,"1, 3, 5","6, 7, 8, 9","2, 4","Red, Orange, Yellow, Green,",-,Auspisious
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
6-1,5,"1, 2, 4, 6, 7, 9","3, 8","Green,","YELLOW, BLACK",Opposite
6-2,5,"1, 2, 6, 7","3, 4, 9, 8","Green,","YELLOW, BLACK",Normal
6-3,5,"1, 2, 4, 7, 8, 9","3, 6","Green,","YELLOW, INDIGO",Opposite
6-4,"6, 7","1, 5","3, 2, 4, 8, 9","White, Indigo, Blue , Grey","YELLOW, BLACK",Super
6-5,"5, 6","1, 2, 4, 7, 8, 9",3,"Green, White, Indigo",YELLOW,Very Auspisious
6-6,"4, 5, 6, 7","1, 2, 8, 9",3,"Grey, Green, White, Indigo, Blue, Grey",YELLOW,Very Auspisious
6-7,"4, 5, 6","1, 2, 7, 8, 9",3,"Grey, Green, White, Indigo","YELLOW, BLACK",Best
6-8,"5, 6","7, 9","3, 4, 8, 1, 2","Green, White, Indigo","YELLOW, RED, ORANGE",Auspisious
6-9,5,"1, 6, 7, 8, 9","3, 2, 4","Green,",YELLOW,Auspisious
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
7-1,"1, 5","2, 3, 4, 6, 7, 9",8,"Red, Orange, Green,",BLACK,Normal
7-2,"1, 5","2, 3, 6, 7","4, 9, 8","Red, Orange, Green,",BLACK,"Super, Auspisious"
7-3,"1, 5","2, 3, 4, 7, 8, 9",6,"Red, Orange, Green,","BLACK, INDIGO",InAspisious
7-4,"1, 6","3, 5, 7","2, 4, 8, 9","Red, Orange, White, Indigo",BLACK,Very Auspisious
7-5,"1, 5, 6","2, 3, 4, 7, 8, 9",,"Red, Orange, Green, White, Indigo",BLACK,Opposite
7-6,"4, 5, 6","1, 2, 7, 8, 9",3,"Grey, Green, White, Indigo","BLACK, YELLOW",Special
7-7,"1, 4, 5, 6","2, 3, 7, 8, 9",,"Red, Orange, Grey, Green, White, Indigo",BLACK,Normal
7-8,"5, 6","3, 7, 9","4, 8, 1, 2","Green, White, Indigo","BLACK, RED, ORANGE",Very Dangerous
7-9,"1, 5","3, 6, 7, 8, 9","2, 4","Red, Orange, Green,",BLACK,"Very Dangerous, Very Opposite"
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
8-1,"3, 5","6, 7, 9","4, 8, 1, 2","Yellow, Green,","RED, ORANGE, BLACK",Opposite
8-2,"3, 5","6, 7","4, 8, 9, 1, 2","Yellow, Green,","RED, ORANGE, BLACK",Problems from Enemies
8-3,"3, 5","7, 9","4, 8, 6, 1, 2","Yellow, Green,","RED, ORANGE, INDIGO",Very Auspisious
8-4,6,"3, 5, 7","4, 8, 2, 9, 1","White, Indigo","RED, ORANGE, BLACK","Heavy Loans, Attempt to Murder"
8-5,"3, 5, 6","7, 9","4, 8, 1, 2","Yellow, Green, White, Indigo","RED, ORANGE",Very Auspisious
8-6,"5, 6","7, 9","4, 8, 3, 1, 2","Green, White, Indigo","RED, ORANGE, YELLOW",Very Special
8-7,"5, 6","3, 7, 9","4, 8, 1, 2","Green, White, Indigo","RED, ORANGE, BLACK","Very Dangerous, Very Opposite"
8-8,"3, 5, 6","7, 9","4, 8, 1, 2","Yellow, Green, White, Indigo","RED, ORANGE",Heavy Problems
8-9,"3, 5","6, 7, 9","4, 8, 2, 1","Yellow, Green,","RED, ORANGE",Good
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
9-1,"1, 3, 5","6, 7, 9","2, 4, 8","Red, Orange, Yellow, Green,",BLACK,"More Powerful, Special"
9-2,"1, 3, 5","6, 7","2, 4, 9, 8","Red, Orange, Yellow, Green,",BLACK,"More Powerful, Special"
9-3,"1, 3, 5","7, 8, 9","2, 4, 6","Red, Orange, Yellow, Green,",INDIGO,"More Powerful, Special"
9-4,1,"3, 5, 6, 7","2, 4, 8, 9","Red, Orange",BLACK,"More Powerful, Special"
9-5,"1, 3, 5","6, 7, 8, 9","2, 4","Red, Orange, Yellow, Green,",-,Very Auspisious
9-6,5,"1, 6, 7, 8, 9","2, 4, 3","Green,",YELLOW,"Very Special, Auspisious"
9-7,"1, 5","3, 6, 7, 8, 9","2, 4","Red, Orange, Green,",BLACK,"Very Dangerous, Very Opposite"
9-8,"3, 5","6, 7, 9","2, 4, 8, 1","Yellow, Green,","RED, ORANGE",Auspisious
9-9,"1, 3, 5","6, 7, 8, 9","2, 4","Red, Orange, Yellow, Green,",-,"More Powerful, Special"
